Date;Service;Departure station;Arrival station;Average journey time;Number of scheduled trains;Number of cancelled trains;Cancellation comments;Number of trains delayed at departure;Average delay of late trains at departure;Average delay of all trains at departure;Departure delay comments;Number of trains delayed at arrival;Average delay of late trains at arrival;Average delay of all trains at arrival;Arrival delay comments;Number of trains delayed > 15min;Average delay of trains > 15min (if competing with flights);Number of trains delayed > 30min;Number of trains delayed > 60min;Pct delay due to external causes;Pct delay due to infrastructure;Pct delay due to traffic management;Pct delay due to rolling stock;Pct delay due to station management and equipment reuse;Pct delay due to passenger handling (crowding, disabled persons, connections)
2018-01;National;BORDEAUX ST JEAN;PARIS MONTPARNASSE;141;;5;;289;11.24780854;3.693179191;;147;28.43673469;6.511117534;;110;346.474286689822;44;8;36.13445378;31.09243697;10.92436975;15.96638655;5.042016807;75.9157297055427
2018-01;National;LA ROCHELLE VILLE;PARIS MONTPARNASSE;165;222;N/A;;8;2.875;0.095795796;;34;21.52401961;5.696096096;;22;5.696096096;5;N/A;15.38461538;30.76923077;38.46153846;11.53846154;3.846153846;0
2018-01;National;PARIS MONTPARNASSE;QUIMPER;220;248;1;;37;9.501351351;N/A;;;55.69230769;7.578947368;"Ce mois-ci, l'OD a été touchée par les incidents suivants :
Le 1er : Tempête Carmen sur la façade Atlantique  (52 TGV ; 1079mn)
Le 3 : Tempête Eleonor sur l’ouest de la France (35 TGV ; 407mn)
Le 5 : Dérangement d’une aiguille en gare de Massy TGV (57 TGV ; 1254mn)
Le 7 : Dérangement du poste d’aiguillage de Paris Montparnasse (70 TGV ; 1490mn)
Le 12 : Colis suspect en gare de Paris Montparnasse (32 TGV ; 499mn)
Le 12 : Incident caténaire en gare de Rennes (26 TGV ; 2188mn)
Le 17 : Dérangement du poste d’aiguillage de Paris Montparnasse (26 TGV ; 386mn)";26;7.548387097;17;7;26.92307692;38.46153846;;19.23076923;0;0
2018-01;National;PARIS MONTPARNASSE;ST MALO;156;102;0;;12;19.9125;1.966666667;;13;48.62307692;6.790686275;"Ce mois-ci, l'OD a été touchée par les incidents suivants :
Le 1er : Tempête Carmen sur la façade Atlantique  (52 TGV ; 1079mn)
Le 3 : Tempête Eleonor sur l’ouest de la France (35 TGV ; 407mn)
Le 5 : Dérangement d’une aiguille en gare de Massy TGV (57 TGV ; 1254mn)
Le 7 : Dérangement du poste d’aiguillage de Paris Montparnasse (70 TGV ; 1490mn)
Le 12 : Colis suspect en gare de Paris Montparnasse (32 TGV ; 499mn)
Le 12 : Incident caténaire en gare de Rennes (26 TGV ; 2188mn)
Le 17 : Dérangement du poste d’aiguillage de Paris Montparnasse (26 TGV ; 386mn)";8;6.724757282;6;4;23.07692308;218.650887878579;7.692307692;15.38461538;7.692307692;N/A
2018-01;National;PARIS MONTPARNASSE;ST PIERRE DES CORPS;61;391;2;;61;;0.88688946;;71;12.40516432;3.346486718;;17;3.346486718;6;0;21.21212121;42.42424242;9.090909091;21.21212121;6.060606061;0
2018-01;National;QUIMPER;PARIS MONTPARNASSE;223;256;1;;N/A;16.33333333;0.579477124;;21;39.0952381;5.940849673;;21;5.917643229;9;N/A;27.77777778;55.55555556;;5.555555556;5.555555556;75.9157297055427
2018-01;National;;LYON PART DIEU;1702.59380097879;99;0;;23;3;;;N/A;40.05833333;2.244612795;"Ce mois-ci, l'OD a été touchée par les incidents suivants :
Le 1er : Tempête Carmen sur la façade Atlantique  (52 TGV ; 1079mn)
Le 3 : Tempête Eleonor sur l’ouest de la France (35 TGV ; 407mn)
Le 5 : Dérangement d’une aiguille en gare de Massy TGV (57 TGV ; 1254mn)
Le 7 : Dérangement du poste d’aiguillage de Paris Montparnasse (70 TGV ; 1490mn)
Le 12 : Colis suspect en gare de Paris Montparnasse (32 TGV ; 499mn)
Le 12 : Incident caténaire en gare de Rennes (26 TGV ; 2188mn)
Le 17 : Dérangement du poste d’aiguillage de Paris Montparnasse (26 TGV ; 386mn)";6;2.244612795;2;1;0;50;25;25;0;0
2018-01;National;ST PIERRE DES CORPS;PARIS MONTPARNASSE;61;2681.20615823817;1;;173;;2.954808476;;114;13.04561404;4.359739201;"Ce mois-ci, l'OD a été touchée par les incidents suivants :
Le 1er : Tempête Carmen sur la façade Atlantique  (52 TGV ; 1079mn)
Le 3 : Tempête Eleonor sur l’ouest de la France (35 TGV ; 407mn)
Le 5 : Dérangement d’une aiguille en gare de Massy TGV (57 TGV ; 1254mn)
Le 7 : Dérangement du poste d’aiguillage de Paris Montparnasse (70 TGV ; 1490mn)
Le 12 : Colis suspect en gare de Paris Montparnasse (32 TGV ; 499mn)
Le 17 : Dérangement du poste d’aiguillage de Paris Montparnasse (26 TGV ; 386mn)";26;4.359739201;9;0;22.72727273;45.45454545;16.66666667;12.12121212;;1.515151515
2018-01;National;TOURS;PARIS MONTPARNASSE;75;194;0;;;5.727777778;0.333075601;;35;11.13142857;2.929295533;;N/A;2.929295533;1;0;25;56.25;6.25;12.5;0;0
2018-01;National;NANTES;STRASBOURG;303;39;0;;22;2.835606061;1.664957265;;5;32.98666667;5.741025641;;N/A;5.741025641;124.671696574225;1;0;;33.33333333;33.33333333;0;N/A
